Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors,Company_clean,Founders_clean,founders_count,startup_clean,SeriesA_flag,num_funding_rounds,early_total_funding,unique_investors_count
Reliance Retail,Mumbai,2006,Mukesh Ambani,"Consumer Goods, Grocery, Retail","Reliance Retail operates a chain of local stores, supermarkets, and wholesale/specialty stores, as well as an online store.",10001+,"₹6,419,310,306",6,8,reliance retail,Mukesh Ambani,1,,0.0,0.0,0.0,0.0
Locus.sh,Bengaluru,2015,"Geet Garg, Nishith Rastogi","Big Data, Data Visualization, Logistics, Software",Locus is a logistics-focused intelligent decision-making and automation platform.,251-500,"₹78,750,000",6,25,locus.sh,"Geet Garg, Nishith Rastogi",2,,0.0,0.0,0.0,0.0
KreditBee,Bengaluru,2018,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Financial Services, FinTech, Internet, Lending",KreditBee is a digital loan platform that was created to help young professionals manage their finances.,1001-5000,"₹133,404,000",3,7,kreditbee,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",3,,0.0,0.0,0.0,0.0
boAt,New Delhi,2016,"Aman Gupta, Sameer Mehta","Consumer Electronics, Fashion, Lifestyle, Wearables","boAt is a domestic audio-tech earwear firm that specializes on well-designed, aspirational items at affordable prices.",101-250,"₹116,258,656",6,5,boat,"Aman Gupta, Sameer Mehta",2,,0.0,0.0,0.0,0.0
Flipkart,Bengaluru,2007,"Binny Bansal, Sachin Bansal","E-Commerce, Internet, Retail, Shopping",Flipkart is an e-commerce platform with over 30 million products in more than 70 categories.,10001+,"₹9,009,184,737",24,24,flipkart,"Binny Bansal, Sachin Bansal",2,flipkart,0.0,7.0,12560.279999999999,11.0
MobiKwik,Gurgaon,2009,"Bipin Singh, Chandan Joshi, Upasana Taku","Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management","MobiKwik is India's leading fintech platform, with consumer payments, payment gateways, and financial services as its core operations.",251-500,"₹165,518,505",15,26,mobikwik,"Bipin Singh, Chandan Joshi, Upasana Taku",3,mobikwik,0.0,7.0,1059.2,11.0
Cuemath,Bengaluru,2013,Manan Khurma,"E-Learning, EdTech, Education, STEM Education",Cuemath is an international online learning platform that provides K–10 pupils with math and coding curriculum.,1001-5000,"₹64,495,265",5,8,cuemath,Manan Khurma,1,cuemath,0.0,5.0,3500.75,10.0
Jai Kisan,Mumbai,2017,"Adriel Maniego, Arjun Ahluwalia","Agriculture, AgTech, Financial Services, FinTech",Jai Kisan is a finance platform that serves rural emerging markets with long-term funding.,Nov-50,"₹35,400,000",5,18,jai kisan,"Adriel Maniego, Arjun Ahluwalia",2,jai kisan,0.0,1.0,32.0,2.0
Infra.Market,Thane,2016,"Aaditya Sharda, Souvik Sengupta","Construction, E-Commerce, Marketplace, Procurement",Infra.Market is an online marketplace for all types of materials and products used in construction projects.,51-100,"₹161,545,747",7,8,infra.market,"Aaditya Sharda, Souvik Sengupta",2,infra.market,0.0,2.0,1665.0,5.0
Xpressbees,Pune,2015,"Amitava Saha, Supam Maheshwari","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",Xpressbees is an e-commerce logistics company that provides its partners with dependable logistical solutions.,10001+,"₹277,583,000",8,11,xpressbees,"Amitava Saha, Supam Maheshwari",2,xpressbees,0.0,3.0,170.13,7.0
Northern Arc,Chennai,2008,Kshama Fernandes,"Enterprise, Finance, Financial Services",Northern Arc Capital is a non-banking finance company that connects debt investors with borrowers.,51-100,"₹383,626,249",11,12,northern arc,Kshama Fernandes,1,,0.0,0.0,0.0,0.0
Toppr,Mumbai,2013,"Hemanth Goteti, Zishaan Hayath","E-Learning, EdTech, Education",Toppr is an after-school learning software that offers assistance for admission exams and learning courses.,1001-5000,"₹112,087,670",11,14,toppr,"Hemanth Goteti, Zishaan Hayath",2,toppr,0.0,10.0,3875.13,12.0
MyGlamm,Mumbai,2015,"Darpan Sanghvi, Priyanka Gill","Beauty, Marketplace, Mobile Apps","MyGlamm is a direct-to-consumer beauty firm that connects stylists, beauticians, nail technicians, and spa aestheticians with customers.",101-250,"₹56,035,717",8,14,myglamm,"Darpan Sanghvi, Priyanka Gill",2,myglamm,0.0,4.0,211.23,5.0
ZoomCar,Bengaluru,2012,"David Back, Greg Moran","Automotive, E-Commerce, Rental, Reservations, Transportation","ZoomCar is a self-drive car rental firm that lets customers rent cars by the hour, day, or week.",501-1000,"₹274,145,634",20,36,zoomcar,"David Back, Greg Moran",2,zoomcar,0.0,6.0,352.0,7.0
Snapdeal,Gurgaon,2010,"Kunal Bahl, Rohit Bansal","Consumer Electronics, E-Commerce, Internet, Marketplace, Retail, Shopping","Snapdeal is India's largest no-frills, value-focused marketplace, with products from 500,000+ sellers across 600+ categories.",1001-5000,"₹1,776,260,825",13,26,snapdeal,"Kunal Bahl, Rohit Bansal",2,snapdeal,0.0,2.0,5775.0,4.0
WhiteHat Education Technology,Andheri,2018,Karan Bajaj,Education,Whitehar Jr. is one of the most popular and effective computer programming learning websites for children.,101-250,"₹11,294,388",2,3,whitehat education technology,Karan Bajaj,1,,0.0,0.0,0.0,0.0
CarDekho,Gurgaon,2007,"Amit Jain, Anurag Jain","Automotive, E-Commerce, Information Services, Information Technology, Software",CarDekho is working to digitize India's automotive ecosystem.,501-1000,"₹247,500,000",7,14,cardekho,"Amit Jain, Anurag Jain",2,cardekho,0.0,8.0,2820.0,11.0
Koo App,Bengaluru,2020,"Aprameya Radhakrishna, Mayank Bidawatka","Apps, Internet, Social Media, Software",Koo App is a social networking platform headquartered in India that allows users to post audio and video.,Nov-50,"₹33,997,488",3,10,koo app,"Aprameya Radhakrishna, Mayank Bidawatka",2,,0.0,0.0,0.0,0.0
Porter,Bengaluru,2014,"Pranav Goel, Uttam Digga, Vikas Choudhary","E-Commerce, Internet, Logistics, Supply Chain Management",Porter assists companies in improving their last-mile delivery operations.,1001-5000,"₹32,070,087",6,6,porter,"Pranav Goel, Uttam Digga, Vikas Choudhary",3,,0.0,0.0,0.0,0.0
Skyroot Aerospace,Hyderabad,2018,"Naga Bharath Daka, Pawan Kumar Chandana","Aerospace, Transportation","Skyroot Aerospace is India's first space launch vehicle company, producing rockets for low-cost access to space.",Nov-50,"₹14,938,971",3,9,skyroot aerospace,"Naga Bharath Daka, Pawan Kumar Chandana",2,,0.0,0.0,0.0,0.0
Holisol logistics,New Delhi,2009,"Manish Ahuja, Naveen Rawat, Rahul Dogar","Business Development, Logistics, Supply Chain Management",HoliSol Logistics is a B2C and B2B supply chain solutions company that specializes in multi-channel fulfillment.,51-100,"₹27,307,486",5,4,holisol logistics,"Manish Ahuja, Naveen Rawat, Rahul Dogar",3,holisol logistics,0.0,1.0,82.5,1.0
Exotel,Bengaluru,2011,Shivakumar Ganesan,"Cloud Data Services, Messaging, Mobile Apps","For small and medium businesses in India, Exotel offers cloud telephony services such as virtual phone lines and telephony applications.",101-250,"₹12,294,124",4,8,exotel,Shivakumar Ganesan,1,exotel,0.0,1.0,415.0,2.0
CarTrade,Mumbai,2009,Vinay Sanghi,"Auctions, Automotive, E-Commerce, Marketplace",CarTrade.com is India's premier online automotive marketplace for new and used vehicle buyers and sellers.,1001-5000,"₹307,351,129",8,9,cartrade,Vinay Sanghi,1,cartrade,0.0,4.0,5192.0,8.0
OPEN,Bengaluru,2017,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko","Banking, Billing, Finance, Financial Services, FinTech, Payments",Open creates and sells an online banking and intercompany settlement platform.,251-500,"₹37,400,000",5,13,open,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko",4,open,0.0,2.0,0.0,1.0
InCred,Mumbai,2016,Bhupinder Singh,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending",InCred is a financial services platform that makes lending simple and rapid by combining technology and data science.,1001-5000,"₹254,425,980",8,17,incred,Bhupinder Singh,1,,0.0,0.0,0.0,0.0
Pepperfry,Mumbai,2011,"Ambareesh Murty, Ashish Shah","E-Commerce, Furniture, Marketplace, Retail",Pepperfry is an online furniture marketplace that sells anything from furniture to home decor.,501-1000,"₹245,341,627",9,8,pepperfry,"Ambareesh Murty, Ashish Shah",2,pepperfry,0.0,6.0,2146.03,12.0
Shadowfax,Bengaluru,2015,"Abhishek Bansal, Vaibhav Khandelwal","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",Shadowfax is a tech-enabled on-demand logistics network that offers one-stop delivery solutions.,501-1000,"₹119,680,000",6,13,shadowfax,"Abhishek Bansal, Vaibhav Khandelwal",2,shadowfax,0.0,3.0,76.81,11.0
The Man Company,Gurgaon,2015,"Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar","Beauty, Consumer Goods",Grooming products for men. Come celebrate your manhood.,101-250,"₹14,128,602",6,5,the man company,"Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar",3,the man company,0.0,2.0,0.0,4.0
Agnikul,Chennai,2017,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Aerospace, Manufacturing, Nanotechnology","Agnikul is a space technology company that designs, builds, tests, and launches orbital class rockets for micro and nano satellites.",51-100,"₹14,543,144",4,17,agnikul,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",3,agnikul,0.0,1.0,26.0,1.0
Shop101,Mumbai,2015,"Abhinav Jain, Aditya Gupta, Kalpak Chhajed","Apps, Consumer Goods, E-Commerce, Internet, Online Portals","By being the most trusted reselling partner for millions of Indians, you'll be leading the next wave of e-commerce.",101-250,"₹19,879,176",3,6,shop101,"Abhinav Jain, Aditya Gupta, Kalpak Chhajed",3,shop101,0.0,3.0,142.0,5.0
Plum,Bengaluru,2019,"Abhishek Poddar, Saurabh Arora","Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance",Health insurance and perks of high quality,Nov-50,"₹20,645,163",5,23,plum,"Abhishek Poddar, Saurabh Arora",2,plum,0.0,3.0,358.0,5.0
Pee Safe,Gurgaon,2013,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Consumer Goods, Fast-Moving Consumer Goods, Fitness, Health Care, Wellness","Redcliffe Hygiene Private Limited, founded in 2013, is India's fastest growing hygiene company.",101-250,"₹9,653,620",6,16,pee safe,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria",3,,0.0,0.0,0.0,0.0
cure.fit,Bengaluru,2016,"Ankit Nagori, Mukesh Bansal","Apps, Fitness, Health Care, Wellness","cure.fit is a digital and offline health and fitness company that focuses on fitness, nutrition, and mental well-being.",101-250,"₹479,575,960",10,33,cure.fit,"Ankit Nagori, Mukesh Bansal",2,,0.0,0.0,0.0,0.0
Nykaa,Mumbai,2012,Falguni Nayar,"Beauty, E-Commerce, Fashion, Lifestyle, Online Portals, Wellness",Nykaa is an online store that sells a variety of beauty and health items.,1001-5000,"₹341,858,615",13,15,nykaa,Falguni Nayar,1,nykaa,0.0,13.0,3290.51,16.0
NoBroker,Bengaluru,2014,"Akhil Gupta, Amit Agarwal","Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software",NoBroker is a peer-to-peer property listing platform that aims to streamline real estate transactions.,51-100,"₹214,452,563",10,13,nobroker,"Akhil Gupta, Amit Agarwal",2,nobroker,0.0,6.0,835.05,11.0
PharmEasy,Mumbai,2015,"Dharmil Sheth, Dhaval Shah, Mikhil Innani","Health Care, Health Diagnostics, Pharmaceutical, Wellness","PharmEasy is a health-tech firm that provides teleconsultation, medicine delivery, and diagnostic test sample collecting, among other services.",501-1000,"₹671,538,857",9,26,pharmeasy,"Dharmil Sheth, Dhaval Shah, Mikhil Innani",3,pharmeasy,0.0,5.0,1001.88,7.0
OfBusiness,Gurgaon,2015,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Financial Services, FinTech, Lending",OfBusiness is a financial platform that provides SMEs with smart funding.,501-1000,"₹193,125,171",7,13,ofbusiness,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",7,ofbusiness,0.0,4.0,403.43,7.0
LEAD School,Mumbai,2012,"Smita Deorah, Sumeet Mehta","E-Learning, EdTech, Education, Secondary Education",LEAD School is a technology-based school transformation system that provides kids with a high-quality education.,501-1000,"₹65,966,878",4,3,lead school,"Smita Deorah, Sumeet Mehta",2,lead school,0.0,2.0,2550.0,3.0
Upstox,Mumbai,2010,"Raghu Kumar, Shrinivas Viswanath","Financial Services, FinTech, Trading Platform",Upstox is a fintech startup that provides customers with new investing possibilities.,101-250,"₹29,000,000",2,3,upstox,"Raghu Kumar, Shrinivas Viswanath",2,,0.0,0.0,0.0,0.0
Teachmint,Bengaluru,2020,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","E-Learning, EdTech, Education",Teachmint is an online learning platform that focuses on the connection between tutors and students.,51-100,"₹20,000,000",3,5,teachmint,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain",4,teachmint,0.0,2.0,4565.0,3.0
ZestMoney,Bengaluru,2015,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma","Big Data, Consumer Lending, Financial Services, FinTech",ZestMoney is a consumer loan fintech startup based in India.,101-250,"₹68,373,925",9,15,zestmoney,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma",3,zestmoney,1.0,4.0,299.52,6.0
Convosight,Delhi,2019,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija","SaaS, Social Media, Social Media Management",Convosight is a community management tool that helps community builders grow and monetise their Facebook groups.,51-100,"₹13,000,000",2,5,convosight,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija",3,convosight,0.0,1.0,33.0,2.0
Livspace,Bengaluru,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","E-Commerce, Furniture, Interior Design","Livspace is an interior design startup that links individuals with designers, services, and products through a platform.",1001-5000,"₹101,691,508",8,17,livspace,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",3,livspace,0.0,7.0,2037.75,11.0
Rebel Foods,Pune,2011,"Jaydeep Barman, Kallol Banerjee","E-Commerce, Food Delivery, Food Processing",Rebel Foods Services is a food delivery platform that delivers food right to your door.,5001-10000,"₹342,349,901",20,19,rebel foods,"Jaydeep Barman, Kallol Banerjee",2,rebel foods,0.0,4.0,1082.0,2.0
Spinny,Gurgaon,2015,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","E-Commerce, E-Commerce Platforms, Internet, Retail",Spinny is a used automobile buying platform that makes transactions safe and simple.,251-500,"₹126,900,000",5,13,spinny,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",3,spinny,1.0,5.0,476.25,11.0
